X,Y,Latitude,Longitude,dT,z
3406648.93,509160.73,30.7805553,114.0957011,0.626389722,-85
3406647.64,509159.98,30.7805437,114.0956932,0.649128646,-85
3406646.37,509159.21,30.7805322,114.0956852,0.674100162,-85
3406645.08,509158.44,30.7805206,114.0956771,0.700280021,-85
3406643.81,509157.67,30.7805091,114.0956691,0.726057099,-85
3406642.52,509156.9,30.7804975,114.095661,0.749891291,-85
3406641.23,509156.13,30.7804859,114.095653,0.76926592,-85
3406639.96,509155.38,30.7804744,114.0956451,0.782029515,-85
3406638.67,509154.61,30.7804628,114.0956371,0.788269906,-85
3406637.37,509153.85,30.7804511,114.0956291,0.787077014,-85
3406636.09,509153.07,30.7804395,114.095621,0.778208204,-85
3406634.79,509152.31,30.7804278,114.095613,0.762452948,-85
3406633.5,509151.55,30.7804162,114.095605,0.741812088,-85
3406632.22,509150.78,30.7804046,114.095597,0.718288882,-85
3406630.93,509150.01,30.780393,114.0955889,0.69355358,-85
3406629.63,509149.24,30.7803813,114.0955809,0.668951311,-85
3406628.33,509148.48,30.7803696,114.0955729,0.645722216,-85
3406627.05,509147.72,30.780358,114.095565,0.625065514,-85
3406625.75,509146.97,30.7803463,114.0955571,0.607053888,-85
3406624.45,509146.2,30.7803346,114.0955491,0.592218347,-85
3406623.16,509145.46,30.780323,114.0955413,0.580157872,-85
3406621.88,509144.7,30.7803114,114.0955334,0.570558068,-85
3406620.58,509143.94,30.7802997,114.0955254,0.562521123,-85
3406619.28,509143.17,30.780288,114.0955174,0.556201646,-85
3406617.97,509142.41,30.7802762,114.0955094,0.551035808,-85
3406616.68,509141.65,30.7802645,114.0955015,0.54709337,-85
3406615.39,509140.9,30.7802529,114.0954936,0.543716764,-85
3406614.08,509140.14,30.7802411,114.0954857,0.540638232,-85
3406612.78,509139.39,30.7802294,114.0954778,0.537561715,-85
3406611.48,509138.63,30.7802177,114.0954699,0.534544394,-85
3406610.18,509137.88,30.7802059,114.095462,0.531228177,-85
3406607.58,509136.38,30.7801825,114.0954463,0.523962271,-85
3406606.28,509135.62,30.7801708,114.0954384,0.520243201,-85
3406604.98,509134.86,30.7801591,114.0954304,0.516412729,-85
3406603.69,509134.09,30.7801474,114.0954224,0.512825312,-85
3406602.4,509133.33,30.7801358,114.0954144,0.509228141,-85
3406601.1,509132.56,30.7801241,114.0954064,0.505851324,-85
3406599.82,509131.81,30.7801125,114.0953985,0.502959121,-85
3406598.52,509131.04,30.7801008,114.0953905,0.500833104,-85
3406597.22,509130.28,30.7800891,114.0953825,0.499457113,-85
3406595.92,509129.51,30.7800774,114.0953745,0.499375765,-85
3406594.64,509128.75,30.7800658,114.0953665,0.500525101,-85
3406593.34,509127.98,30.7800541,114.0953585,0.50303199,-85
3406592.05,509127.22,30.7800425,114.0953505,0.506988443,-85
3406590.76,509126.46,30.7800309,114.0953426,0.512865377,-85
3406589.48,509125.72,30.7800193,114.0953348,0.520498706,-85
3406588.18,509124.96,30.7800076,114.0953269,0.530635884,-85
3406586.89,509124.21,30.779996,114.095319,0.542626488,-85
3406585.59,509123.45,30.7799843,114.0953111,0.556796739,-85
3406584.31,509122.71,30.7799727,114.0953033,0.572856292,-85
3406583.01,509121.95,30.779961,114.0952954,0.591426697,-85
3406581.72,509121.2,30.7799494,114.0952875,0.611097737,-85
3406580.43,509120.44,30.7799377,114.0952796,0.632531345,-85
3406579.13,509119.7,30.779926,114.0952718,0.654706025,-85
3406577.83,509118.94,30.7799143,114.0952639,0.677723124,-85
3406576.53,509118.21,30.7799026,114.0952562,0.699804643,-85
3406575.23,509117.46,30.7798909,114.0952484,0.722015933,-85
3406573.94,509116.71,30.7798792,114.0952405,0.743385623,-85
3406572.64,509115.96,30.7798675,114.0952327,0.763787998,-85
3406571.34,509115.2,30.7798558,114.0952248,0.783459461,-85
3406570.04,509114.44,30.7798441,114.0952168,0.801329673,-85
3406568.76,509113.68,30.7798325,114.0952089,0.816788047,-85
3406567.47,509112.92,30.7798209,114.0952009,0.829913085,-85
3406566.17,509112.16,30.7798092,114.095193,0.840655273,-85
3406564.89,509111.42,30.7797976,114.0951852,0.848951988,-85
3406563.58,509110.66,30.7797858,114.0951773,0.855593062,-85
3406562.29,509109.91,30.7797742,114.0951694,0.860208241,-85
3406560.99,509109.14,30.7797625,114.0951614,0.863558319,-85
3406559.71,509108.38,30.7797509,114.0951534,0.865017285,-85
3406558.41,509107.62,30.7797392,114.0951454,0.864545697,-85
3406557.12,509106.85,30.7797276,114.0951374,0.863084415,-85
3406555.83,509106.08,30.779716,114.0951293,0.860333438,-85
3406554.53,509105.3,30.7797042,114.0951212,0.856282167,-85
3406553.23,509104.53,30.7796925,114.0951131,0.850867902,-85
3406551.94,509103.76,30.7796809,114.0951051,0.845023176,-85
3406550.65,509102.99,30.7796693,114.095097,0.838439453,-85
3406549.36,509102.23,30.7796576,114.0950891,0.830729105,-85
3406546.77,509100.7,30.7796343,114.0950731,0.814109545,-85
3406545.47,509099.94,30.7796226,114.0950651,0.804929882,-85
3406544.18,509099.18,30.7796109,114.0950572,0.795662845,-85
3406542.88,509098.42,30.7795992,114.0950492,0.785818668,-85
3406541.59,509097.66,30.7795876,114.0950413,0.775642445,-85
3406540.29,509096.9,30.7795759,114.0950333,0.76503598,-85
3406539.0,509096.14,30.7795642,114.0950254,0.75460748,-85
3406537.7,509095.38,30.7795525,114.0950174,0.743797154,-85
3406536.4,509094.63,30.7795408,114.0950095,0.732276562,-85
